Datum ;Zeit ;AT [°C];KT Ist [°C];KT Soll [°C];BR ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;Zubrp1 Pumpe;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[Pa];PE1 Unterdruck Soll[Pa];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 Analog1[mV];PE1 Analog2[mV];
14.01.2015;00:03:19;9,2;77,2;60,0;1;30,2;31,5;18,9;18,0;1;0;77,2;70,0;623,7;721,8;11,96;83,00;14;30;95,7;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:04:19;9,2;78,9;60,0;1;30,1;31,6;18,8;18,0;1;0;78,9;70,0;621,1;711,7;11,96;83,00;14;30;96,7;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:05:19;9,2;80,6;8,0;0;30,0;68,0;18,9;8,0;1;0;80,6;8,0;601,4;8,0;0,00;0,00;40;30;80,8;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:06:19;9,2;82,0;8,0;0;31,1;68,0;18,8;8,0;1;0;82,0;8,0;539,0;8,0;0,00;0,00;34;30;82,1;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:07:19;9,2;82,8;8,0;0;34,2;68,0;18,8;8,0;1;0;82,8;8,0;473,6;8,0;0,00;0,00;29;30;83,9;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:08:19;9,2;82,8;8,0;0;43,6;68,0;18,8;8,0;1;0;82,8;8,0;420,2;8,0;0,00;0,00;25;30;90,2;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:09:19;9,2;80,6;8,0;0;53,4;68,0;18,8;8,0;1;0;80,6;8,0;376,7;8,0;0,00;0,00;21;30;96,9;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:10:19;9,2;75,1;8,0;0;59,0;68,0;18,8;8,0;1;0;75,1;8,0;340,8;8,0;0,00;0,00;16;30;107,9;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:11:19;9,2;68,5;60,0;1;58,2;31,6;18,8;18,0;1;0;68,5;70,0;309,9;120,0;0,00;0,00;30;30;110,5;80,0;1;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:12:19;9,2;60,9;60,0;1;50,5;31,6;18,8;18,0;1;0;60,9;70,0;283,6;120,0;0,00;0,00;42;30;75,7;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:13:19;9,2;55,3;60,0;1;47,2;31,6;18,8;18,0;0;0;55,3;70,0;283,3;343,5;20,14;80,00;42;30;77,2;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:14:19;9,2;52,4;60,0;1;48,0;31,6;18,8;18,0;0;0;52,4;70,0;295,2;413,6;21,55;80,00;42;33;80,7;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:15:19;9,2;51,5;60,0;1;49,8;31,6;18,8;18,0;0;0;51,5;70,0;311,5;473,0;22,96;80,00;42;33;80,3;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:16:19;9,2;51,5;60,0;1;48,4;31,6;18,8;18,0;0;0;51,5;70,0;329,6;523,2;24,40;80,00;42;33;80,0;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:17:19;9,2;52,0;60,0;1;45,4;31,6;18,8;18,0;0;0;52,0;70,0;342,9;565,7;25,95;80,00;42;32;81,0;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:18:19;9,2;52,7;60,0;1;42,8;31,5;18,9;18,0;0;0;52,7;70,0;356,1;602,0;27,53;80,00;42;33;79,6;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:19:19;9,2;53,5;60,0;1;40,8;31,5;18,9;18,0;0;0;53,5;70,0;366,6;632,2;29,16;80,00;42;33;79,8;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:20:19;9,2;54,5;60,0;1;39,3;31,5;18,9;18,0;0;0;54,5;70,0;380,6;657,9;30,75;80,00;42;33;80,8;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:21:19;9,2;55,5;60,0;1;38,3;31,5;18,9;18,0;0;0;55,5;70,0;401,8;679,8;32,19;80,00;42;33;80,4;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:22:19;9,2;56,6;60,0;1;37,5;31,5;18,9;18,0;0;0;56,6;70,0;417,7;698,2;33,66;80,00;42;33;80,7;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:23:19;9,2;57,7;60,0;1;36,8;31,5;18,9;18,0;0;0;57,7;70,0;429,2;714,0;34,32;80,00;42;32;82,2;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:24:19;9,2;58,8;60,0;1;36,3;31,5;18,9;18,0;0;0;58,8;70,0;447,5;727,1;34,32;80,00;42;33;81,4;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:25:19;9,2;60,0;60,0;1;35,8;31,5;18,9;18,0;1;0;60,0;70,0;468,7;738,3;34,32;80,00;42;33;80,6;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:26:19;9,2;61,3;60,0;1;31,9;31,4;19,0;18,0;1;0;61,3;70,0;483,4;747,8;34,32;80,00;42;32;81,8;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:27:19;9,2;62,5;60,0;1;32,4;31,4;19,0;18,0;1;0;62,5;70,0;494,1;755,0;32,24;80,00;39;32;82,8;80,0;4;1;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:28:19;9,2;63,9;60,0;1;32,4;31,5;18,9;18,0;1;0;63,9;70,0;503,4;759,4;30,16;80,00;36;31;82,4;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:29:19;9,2;65,2;60,0;1;32,2;31,4;19,0;18,0;1;0;65,2;70,0;517,6;760,8;26,00;80,00;30;32;81,2;80,0;4;1;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:30:19;9,2;66,6;60,0;1;31,9;31,5;18,9;18,0;1;0;66,6;70,0;540,5;759,8;23,92;79,00;27;30;82,4;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:31:19;9,2;68,2;60,0;1;31,6;31,5;18,9;18,0;1;0;68,2;70,0;561,4;756,8;20,79;81,00;22;30;83,4;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:32:19;9,2;69,8;60,0;1;31,3;31,5;18,9;18,0;1;0;69,8;70,0;567,2;751,9;19,24;82,00;20;30;83,7;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:33:19;9,2;71,4;60,0;1;31,1;31,5;18,9;18,0;1;0;71,4;70,0;561,8;745,6;17,16;86,00;18;30;84,5;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:34:19;9,2;72,8;60,0;1;30,8;31,5;18,9;18,0;1;0;72,8;70,0;565,8;738,0;15,07;84,00;16;30;97,5;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:35:19;9,2;74,3;60,0;1;30,5;31,5;18,9;18,0;1;0;74,3;70,0;579,1;729,6;13,52;81,00;15;30;96,2;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:36:19;9,2;75,9;60,0;1;30,3;31,5;18,9;18,0;1;0;75,9;70,0;590,2;720,8;13,00;81,00;15;30;98,2;80,0;4;1;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:37:19;9,2;77,5;60,0;1;30,2;31,5;18,9;18,0;1;0;77,5;70,0;593,8;711,3;11,96;83,00;14;30;96,2;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:38:19;9,2;79,0;60,0;1;30,1;31,5;18,9;18,0;1;0;79,0;70,0;587,8;702,8;11,96;83,00;14;30;97,6;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:39:19;9,2;80,5;8,0;0;30,0;68,0;18,9;8,0;1;0;80,5;8,0;577,7;8,0;0,00;0,00;40;30;81,1;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:40:19;9,2;81,8;8,0;0;31,3;68,0;18,9;8,0;1;0;81,8;8,0;520,3;8,0;0,00;0,00;34;30;82,8;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:41:19;9,3;82,5;8,0;0;35,3;68,0;18,9;8,0;1;0;82,5;8,0;456,5;8,0;0,00;0,00;29;30;84,4;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:42:19;9,3;82,3;8,0;0;45,7;68,0;18,8;8,0;1;0;82,3;8,0;405,5;8,0;0,00;0,00;25;30;91,5;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:43:19;9,3;79,4;8,0;0;54,4;68,0;18,8;8,0;1;0;79,4;8,0;364,4;8,0;0,00;0,00;21;30;101,5;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:44:19;9,3;73,7;8,0;0;59,3;68,0;18,8;8,0;1;0;73,7;8,0;329,9;8,0;0,00;0,00;16;30;109,7;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:45:19;9,3;66,9;60,0;1;56,6;31,4;18,8;18,0;1;0;66,9;70,0;301,7;120,0;0,00;0,00;45;30;86,5;80,0;3;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:46:19;9,3;59,6;60,0;1;48,7;31,4;18,8;18,0;1;0;59,6;70,0;279,8;120,0;0,00;0,00;42;30;79,7;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:47:19;9,3;54,5;60,0;1;46,2;31,4;18,8;18,0;0;0;54,5;70,0;286,9;358,2;20,06;80,00;42;30;76,6;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:48:19;9,3;52,1;60,0;1;47,7;31,4;18,8;18,0;0;0;52,1;70,0;297,2;425,6;21,50;80,00;42;30;78,4;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:49:19;9,3;51,5;60,0;1;49,5;31,4;18,8;18,0;0;0;51,5;70,0;311,2;483,1;22,98;80,00;42;33;80,2;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:50:19;9,3;51,6;60,0;1;47,6;31,4;18,8;18,0;0;0;51,6;70,0;326,7;531,7;24,49;80,00;42;33;79,8;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:51:19;9,3;52,1;60,0;1;44,7;31,3;18,9;18,0;0;0;52,1;70,0;340,6;572,9;26,06;80,00;42;33;79,8;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:52:19;9,3;52,8;60,0;1;42,1;31,3;18,9;18,0;0;0;52,8;70,0;354,0;608,1;27,67;80,00;42;32;80,8;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:53:19;9,3;53,7;60,0;1;40,4;31,3;18,9;18,0;0;0;53,7;70,0;367,9;637,3;29,26;80,00;42;32;81,6;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:54:19;9,3;54,6;60,0;1;39,1;31,3;18,9;18,0;0;0;54,6;70,0;383,1;662,3;30,83;80,00;42;33;78,9;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:55:19;9,3;55,6;60,0;1;38,1;31,3;18,9;18,0;0;0;55,6;70,0;398,9;683,5;32,37;80,00;42;32;82,1;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:56:19;9,3;56,7;60,0;1;37,4;31,3;18,9;18,0;0;0;56,7;70,0;420,8;701,4;33,75;80,00;42;33;80,2;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:57:19;9,3;57,9;60,0;1;36,7;31,3;18,9;18,0;0;0;57,9;70,0;448,0;716,6;34,32;80,00;42;32;81,2;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:58:19;9,3;59,1;60,0;1;36,2;31,3;18,9;18,0;0;0;59,1;70,0;467,7;729,3;34,32;80,00;42;33;80,8;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;00:59:19;9,3;60,5;60,0;1;33,4;31,2;19,0;18,0;1;0;60,5;70,0;485,7;740,2;34,32;80,00;42;33;80,7;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:00:19;9,3;61,8;60,0;1;32,3;31,2;19,0;18,0;1;0;61,8;70,0;501,2;749,4;34,31;80,00;42;33;80,6;80,0;4;1;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:01:19;9,3;63,2;60,0;1;32,5;31,2;19,0;18,0;1;0;63,2;70,0;523,6;755,6;30,16;80,00;36;32;80,3;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:02:19;9,3;64,6;60,0;1;32,4;31,3;18,9;18,0;1;0;64,6;70,0;536,3;758,7;28,07;80,00;33;32;79,5;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:03:19;9,3;66,1;60,0;1;32,1;31,3;18,9;18,0;1;0;66,1;70,0;550,6;759,0;23,92;79,00;27;31;82,8;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:04:19;9,3;67,7;60,0;1;31,8;31,3;18,9;18,0;1;0;67,7;70,0;562,5;756,9;22,36;80,00;24;30;83,0;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:05:19;9,3;69,3;60,0;1;31,5;31,3;18,9;18,0;1;0;69,3;70,0;558,7;752,7;19,24;82,00;20;30;83,8;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:06:19;9,4;70,8;60,0;1;31,2;31,2;18,9;18,0;1;0;70,8;70,0;567,4;746,9;18,20;84,00;19;30;83,8;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:07:19;9,4;72,3;60,0;1;30,9;31,2;18,9;18,0;1;0;72,3;70,0;573,1;740,0;15,08;84,00;16;30;95,2;80,0;4;1;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:08:19;9,4;73,9;60,0;1;30,7;31,2;18,9;18,0;1;0;73,9;70,0;590,0;731,8;14,04;81,00;16;30;94,5;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:09:19;9,4;75,5;60,0;1;30,4;31,2;18,9;18,0;1;0;75,5;70,0;592,7;723,1;13,00;81,00;15;30;97,3;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:10:19;9,4;77,0;60,0;1;30,2;31,2;18,9;18,0;1;0;77,1;70,0;593,9;713,9;11,96;83,00;14;30;96,1;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:11:19;9,4;78,6;60,0;1;30,0;31,2;18,9;18,0;1;0;78,6;70,0;590,4;705,0;11,96;83,00;14;30;97,9;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:12:19;9,4;80,1;8,0;0;29,9;68,0;18,9;8,0;1;0;80,1;8,0;579,6;8,0;0,00;0,00;40;30;79,4;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:13:19;9,4;81,5;8,0;0;29,9;68,0;18,9;8,0;1;0;81,5;8,0;533,7;8,0;0,00;0,00;35;30;82,3;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:14:19;9,4;82,5;8,0;0;31,5;68,0;18,8;8,0;1;0;82,5;8,0;468,7;8,0;0,00;0,00;30;30;82,2;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:15:19;9,4;83,1;8,0;0;36,2;68,0;18,8;8,0;1;0;83,1;8,0;415,9;8,0;0,00;0,00;26;30;91,9;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:16:19;9,4;82,6;8,0;0;46,5;68,0;18,8;8,0;1;0;82,6;8,0;372,8;8,0;0,00;0,00;22;30;97,6;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:17:19;9,4;79,1;8,0;0;54,9;68,0;18,8;8,0;1;0;79,1;8,0;337,2;8,0;0,00;0,00;18;30;97,7;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:18:19;9,3;73,1;8,0;0;59,2;68,0;18,8;8,0;1;0;73,1;8,0;306,5;8,0;0,00;0,00;13;30;113,2;80,0;5;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:19:19;9,3;66,1;60,0;1;56,2;31,4;18,8;18,0;1;0;66,1;70,0;280,4;120,0;0,00;0,00;45;30;77,1;80,0;3;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:20:19;9,3;58,8;60,0;1;48,7;31,4;18,8;18,0;0;0;58,8;70,0;261,7;120,0;0,00;0,00;42;30;78,0;80,0;4;0;0;0;0;0;100;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:21:19;9,3;53,9;60,0;1;47,2;31,4;18,8;18,0;0;0;53,9;70,0;270,5;348,3;20,14;80,00;42;32;81,3;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:22:19;9,3;51,7;60,0;1;48,6;31,4;18,8;18,0;0;0;51,7;70,0;282,6;417,7;21,61;80,00;42;33;79,8;80,0;4;1;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:23:19;9,3;51,2;60,0;1;49,7;31,4;18,8;18,0;0;0;51,2;70,0;296,8;476,8;23,16;80,00;42;33;80,6;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:24:19;9,3;51,3;60,0;1;47,6;31,4;18,8;18,0;0;0;51,3;70,0;312,7;526,5;24,72;80,00;42;33;81,0;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
14.01.2015;01:25:19;9,3;51,8;60,0;1;44,6;31,3;18,9;18,0;0;0;51,8;70,0;328,9;568,5;26,30;80,00;42;33;80,9;80,0;4;0;0;0;0;0;0;0;0;0;0;0;3276,6;3276,6;0;3276,6;3276,6;
